2015-01-10 20:24:04 - infiSTAR.de AdminLog | 0h 23min | Ludacris moved Gandalf in his vehicle   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:24:23 - infiSTAR.de AdminLog | 0h 23min | Ludacris FastFire ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:25:59 - infiSTAR.de AdminLog | 0h 25min | Gandalf G_o_d ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 20:26:05 - infiSTAR.de AdminLog | 0h 25min | Gandalf Moving to Ludacris   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 20:27:10 - infiSTAR.de AdminLog | 0h 26min | Ludacris Vehboost On   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:27:12 - infiSTAR.de AdminLog | 0h 26min | Ludacris Vehboost Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:27:14 - infiSTAR.de AdminLog | 0h 26min | Ludacris Vehboost On   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:27:14 - infiSTAR.de AdminLog | 0h 26min | Ludacris Vehboost Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:28:34 - infiSTAR.de AdminLog | 0h 27min | Ludacris Viewdistance 20000   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:28:50 - infiSTAR.de AdminLog | 0h 27min | Ludacris (76561198053094647) spawned T72_RU @044170   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:29:38 - infiSTAR.de AdminLog | 0h 28min | Ludacris moved Gandalf in his vehicle   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:30:30 - infiSTAR.de AdminLog | 0h 29min | Ludacris Weather 0   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:30:57 - infiSTAR.de AdminLog | 0h 30min | Ludacris Vehboost On   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:31:18 - infiSTAR.de AdminLog | 0h 30min | Ludacris - No OverBurdened - ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:34:40 - infiSTAR.de AdminLog | 0h 33min | Ludacris (76561198053094647) spawned C130J_US_EP1_DZ @054166   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:35:50 - infiSTAR.de AdminLog | 0h 34min | Ludacris (76561198053094647) spawned D30_RU @057167   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:35:52 - infiSTAR.de AdminLog | 0h 34min | Ludacris (76561198053094647) spawned policecar @057167   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:37:33 - infiSTAR.de AdminLog | 0h 36min | Ludacris (76561198053094647) spawned policecar @057166   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:38:13 - infiSTAR.de AdminLog | 0h 37min | Ludacris ZedShield Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:38:14 - infiSTAR.de AdminLog | 0h 37min | Ludacris FastFire OFF   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 21:02:42 - infiSTAR.de AdminLog | 0h 05min | Ludacris No Zed Aggro - On   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 21:02:43 - infiSTAR.de AdminLog | 0h 05min | Ludacris G_o_d ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 21:03:37 - infiSTAR.de AdminLog | 0h 06min | Ludacris (76561198053094647) spawned GAZ_Vodnik_HMG @053165   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 21:05:35 - infiSTAR.de AdminLog | 0h 08min | Ludacris G_o_d OFF   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 21:05:36 - infiSTAR.de AdminLog | 0h 08min | Ludacris No Zed Aggro - Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 21:06:42 - infiSTAR.de AdminLog | 0h 09min | Ludacris G_o_d ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
